City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Butaritari,0,KI,1582083532,77,3.07,172.79,83.79,18.5
1,Paita,1,PE,1582083532,67,-5.09,-81.11,78.08,9.75
2,Castro,100,BR,1582083532,98,-24.79,-50.01,66.45,2.46
3,Ribeira Grande,33,PT,1582083532,87,38.52,-28.7,56.17,13.89
4,Harwich,0,GB,1582083201,77,51.94,1.28,39.99,14.99
5,Mar del Plata,0,AR,1582083516,93,-38.0,-57.56,61.0,2.24
6,Luena,100,AO,1582083533,96,-11.78,19.92,64.13,3.06
7,Salalah,0,OM,1582083368,84,17.02,54.09,62.94,1.32
8,Ushuaia,75,AR,1582083373,87,-54.8,-68.3,46.4,25.28
9,Soyo,78,AO,1582083533,87,-6.13,12.37,79.54,1.97
10,Ahipara,0,NZ,1582083534,94,-35.17,173.17,75.99,1.01
11,Luganville,75,VU,1582083534,79,-15.53,167.17,84.2,12.75
12,Puerto Ayora,3,EC,1582083534,84,-0.74,-90.35,77.59,8.48
13,Guerrero Negro,100,MX,1582083535,82,27.98,-114.06,61.3,10.8
14,Norman Wells,75,CA,1582083535,70,65.28,-126.83,-2.2,5.82
15,Albany,90,US,1582083296,86,42.6,-73.97,37.99,8.14
16,Timra,87,SE,1582083535,92,62.49,17.33,28.99,2.24
17,Punta Arenas,75,CL,1582083457,70,-53.15,-70.92,46.4,20.8
18,Ashcroft,5,CA,1582083536,76,50.72,-121.29,32.0,6.93
19,Rikitea,3,PF,1582083536,78,-23.12,-134.97,79.11,14.67
20,Port Elizabeth,46,ZA,1582083536,88,-33.92,25.57,66.2,9.17
21,Cap Malheureux,40,MU,1582083537,69,-19.98,57.61,78.8,9.17
22,Chalus,40,IR,1582083537,87,36.66,51.42,42.8,4.7
23,Nikolskoye,40,RU,1582083537,80,59.7,30.79,39.2,11.18
24,Thompson,5,CA,1582083537,69,55.74,-97.86,-11.2,9.17
25,Brae,94,GB,1582083537,77,60.4,-1.35,41.0,2.24
26,Zhigansk,100,RU,1582083538,96,66.77,123.37,-15.81,12.57
27,Usinsk,100,RU,1582083538,98,65.99,57.53,33.01,15.73
28,Safaga,0,EG,1582083538,45,26.73,33.94,62.6,5.82
29,Thinadhoo,0,MV,1582083538,81,0.53,72.93,82.36,14.74
30,Hobart,75,AU,1582083383,47,-42.88,147.33,66.0,21.92
31,Osa,100,RU,1582083539,98,57.28,55.46,33.22,12.26
32,Ulaangom,100,MN,1582083539,98,49.98,92.07,-5.26,2.51
33,San Patricio,0,MX,1582083539,78,19.22,-104.7,75.7,2.98
34,Tuatapere,99,NZ,1582083539,70,-46.13,167.68,62.01,15.99
35,Torit,33,SS,1582083540,51,4.41,32.57,80.31,3.38
36,Barrow,90,US,1582083540,77,71.29,-156.79,-2.2,23.04
37,Avarua,100,CK,1582083540,78,-21.21,-159.78,82.4,10.29
38,Torbay,20,CA,1582083313,72,47.67,-52.73,15.01,12.75
39,Olafsvik,56,IS,1582083541,71,64.89,-23.71,32.09,11.27
40,Port Blair,40,IN,1582083541,80,11.67,92.75,80.17,15.26
41,Hualmay,100,PE,1582083541,77,-11.1,-77.61,72.52,4.34
42,Dingle,76,PH,1582083541,79,11.0,122.67,77.58,18.86
43,Tiksi,100,RU,1582083542,86,71.69,128.87,-4.54,7.74
44,Sao Filipe,100,CV,1582083542,42,14.9,-24.5,78.64,16.89
45,Oranjemund,2,NA,1582083543,86,-28.55,16.43,63.93,2.24
46,Mnogovershinnyy,65,RU,1582083543,84,53.94,139.92,9.37,3.91
47,Flinders,75,AU,1582083527,38,-34.58,150.86,82.99,17.22
48,Cherskiy,100,RU,1582083544,96,68.75,161.3,-20.79,5.37
49,Havre-Saint-Pierre,90,CA,1582083544,72,50.23,-63.6,17.6,11.41
50,North Bend,1,US,1582083544,81,43.41,-124.22,44.6,6.93
